method,domain,precision,recall,f1,accuracy,auc_roc,n_examples
Legal→Scientific (zero-shot),scientific,0.6667,0.055,0.1017,0.47,N/A,200
Legal→Scientific (few-shot n=30),scientific,0.5775,0.7523,0.6534,0.565,N/A,200
